Study,Study_ID,BrainBankNetworkID,Brain region,Sample_Name,data_type,Enrichment
TREM2,IGFQ000949,BBN002.30127,EC,BBN002_30127_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.30127,SSC,BBN002_30127_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.30127,MTG,BBN002_30127_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_9939,EC,BBN_9939_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_9939,SSC,BBN_9939_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_18813,EC,BBN_18813_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_18813,SSC,BBN_18813_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_18813,MTG,BBN_18813_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.26094,EC,BBN002_26094_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.26094,SSC,BBN002_26094_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.26094,MTG,BBN002_26094_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_9984,SSC,BBN_9984_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_9984,MTG,BBN_9984_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_24370,SSC,BBN_24370_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_24370,EC,BBN_24370_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_24370,MTG,BBN_24370_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.29089,EC,BBN002_29089_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.29089,MTG,BBN002_29089_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.29089,SSC,BBN002_29089_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_13802,SSC,BBN_13802_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_13802,EC,BBN_13802_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_13802,MTG,BBN_13802_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.29170,MTG,BBN002_29170_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.29170,EC,BBN002_29170_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN002.29170,SSC,BBN002_29170_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_24578,SSC,BBN_24578_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_24578,EC,BBN_24578_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_24578,MTG,BBN_24578_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_10099,EC,BBN_10099_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_10099,MTG,BBN_10099_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ000949,BBN_9984,EC,BBN_9984_EC_S1,bulkRNAseq,N/A
