,Sample_ID,Sample_Name,I7_Index_ID,Brain region,RNAseq/ATACseq,Enrichment,Sample_Name_original,Sample_Name_normalized
92,IGF109266,PDC34_1,SI-GA-E9,,,,PDC34_1,PDC34
96,IGF109267,PDC87_1,SI-GA-F4,,,,PDC87_1,PDC87
100,IGF109268,PDC91_1,SI-GA-H2,,,,PDC91_1,PDC91
104,IGF109269,C36_1,SI-GA-B12,,,,C36_1,C36
108,IGF109270,C48_1,SI-GA-B7,,,,C48_1,C48
112,1,IGF0004506,RB01A_29_01_15,,,,IGF0004506,IGF0004506
124,6,IGF0004506,RB01A_29_01_15,,,,IGF0004506,IGF0004506
125,7,IGF0004506,RB01A_29_01_15,,,,IGF0004506,IGF0004506
126,8,IGF0004506,RB01A_29_01_15,,,,IGF0004506,IGF0004506
0,IGF104171,Sort2-Small_1,SI-GA-G6,,,,Sort2-Small_1,Sort2_Small
4,IGF104172,Sort2-Big_1,SI-GA-G7,,,,Sort2-Big_1,Sort2_Big
8,IGF104173,Sort3-Both_1,SI-GA-G8,,,,Sort3-Both_1,Sort3_Both
0,IGF107285,C36Whitematter_1,,,,,C36Whitematter_1,C36Whitematter
4,IGF107286,PDC39Whitematter_1,,,,,PDC39Whitematter_1,PDC39Whitematter
0,IGF106094,PD1085_1,SI-GA-C10,,,,PD1085_1,PD1085
4,IGF106092,PDC05_1,SI-GA-B5,,,,PDC05_1,PDC05
8,IGF106093,Doublet_1,SI-GA-B6,,,,Doublet_1,Doublet
0,IGF106742,MS527_1,SI-GA-C11,,,,MS527_1,MS527
4,IGF106743,MS411_1,SI-GA-B11,,,,MS411_1,MS411
8,IGF106744,MS513_1,SI-GA-B9,,,,MS513_1,MS513
12,IGF106745,MS586_1,SI-GA-C6,,,,MS586_1,MS586
16,IGF106746,MS535_1,SI-GA-C3,,,,MS535_1,MS535
20,IGF106747,MS549_1,SI-GA-C5,,,,MS549_1,MS549
24,IGF106748,MS530_1,SI-GA-C2,,,,MS530_1,MS530
28,IGF106749,MS558_1,SI-GA-C12,,,,MS558_1,MS558
32,IGF106750,MS461_1,SI-GA-B8,,,,MS461_1,MS461
36,IGF106751,MS430_1,SI-GA-B10,,,,MS430_1,MS430
