synapse_file_id  filename
syn53058195  BBN003_32185_MTG_S1_L001_R2_001.fastq.gz
syn53008983  BBN003_32185_SSC_S1_L001_R1_001.fastq.gz
syn53009354  BBN003_32185_SSC_S1_L001_R2_001.fastq.gz
syn53008960  BBN003_32194_EC_S1_L001_R1_001.fastq.gz
syn53009356  BBN003_32194_EC_S1_L001_R2_001.fastq.gz
syn53056073  BBN003_32194_MTG_S1_L001_R1_001.fastq.gz
syn53056426  BBN003_32194_MTG_S1_L001_R2_001.fastq.gz
syn53056074  BBN003_32194_SSC_S1_L001_R1_001.fastq.gz
syn53056439  BBN003_32194_SSC_S1_L001_R2_001.fastq.gz
syn53008971  BBN003_32196_EC_S1_L001_R1_001.fastq.gz
syn53009362  BBN003_32196_EC_S1_L001_R2_001.fastq.gz
syn53056092  BBN003_32196_MTG_S1_L001_R1_001.fastq.gz
syn53056446  BBN003_32196_MTG_S1_L001_R2_001.fastq.gz
syn53008990  BBN003_32196_SSC_S1_L001_R1_001.fastq.gz
syn53009363  BBN003_32196_SSC_S1_L001_R2_001.fastq.gz
syn53008984  BBN003_32201_EC_S1_L001_R1_001.fastq.gz
syn53009364  BBN003_32201_EC_S1_L001_R2_001.fastq.gz
syn53056118  BBN003_32201_MTG_S1_L001_R1_001.fastq.gz
syn53056464  BBN003_32201_MTG_S1_L001_R2_001.fastq.gz
syn53008986  BBN003_32201_SSC_S1_L001_R1_001.fastq.gz
syn53009367  BBN003_32201_SSC_S1_L001_R2_001.fastq.gz
syn53008991  BBN003_32205_EC_S1_L001_R1_001.fastq.gz
syn53009371  BBN003_32205_EC_S1_L001_R2_001.fastq.gz
syn53056125  BBN003_32205_MTG_S1_L001_R1_001.fastq.gz
syn53056477  BBN003_32205_MTG_S1_L001_R2_001.fastq.gz
syn53008964  BBN003_32205_SSC_S1_L001_R1_001.fastq.gz
syn53009365  BBN003_32205_SSC_S1_L001_R2_001.fastq.gz
syn53008970  BBN003_32209_EC_S1_L001_R1_001.fastq.gz
syn53009369  BBN003_32209_EC_S1_L001_R2_001.fastq.gz
syn53056130  BBN003_32209_MTG_S1_L001_R1_001.fastq.gz
syn53056482  BBN003_32209_MTG_S1_L001_R2_001.fastq.gz
syn53056136  BBN003_32209_SSC_S1_L001_R1_001.fastq.gz
syn53056487  BBN003_32209_SSC_S1_L001_R2_001.fastq.gz
syn53008968  BBN003_32211_EC_S1_L001_R1_001.fastq.gz
syn53009370  BBN003_32211_EC_S1_L001_R2_001.fastq.gz
syn53055506  BBN003_32211_MTG_S1_L001_R1_001.fastq.gz
syn53058190  BBN003_32211_MTG_S1_L001_R2_001.fastq.gz
syn53056140  BBN003_32211_SSC_S1_L001_R1_001.fastq.gz
syn53056493  BBN003_32211_SSC_S1_L001_R2_001.fastq.gz
syn53008993  BBN003_32212_EC_S1_L001_R1_001.fastq.gz
syn53009373  BBN003_32212_EC_S1_L001_R2_001.fastq.gz
syn53055515  BBN003_32212_MTG_S1_L001_R1_001.fastq.gz
syn53058210  BBN003_32212_MTG_S1_L001_R2_001.fastq.gz
syn53055524  BBN003_32212_SSC_S1_L001_R1_001.fastq.gz
syn53058205  BBN003_32212_SSC_S1_L001_R2_001.fastq.gz
syn53008963  BBN003_32227_EC_S1_L001_R1_001.fastq.gz
syn53009374  BBN003_32227_EC_S1_L001_R2_001.fastq.gz
syn53056150  BBN003_32227_MTG_S1_L001_R1_001.fastq.gz
syn53058207  BBN003_32227_MTG_S1_L001_R2_001.fastq.gz
syn53008994  BBN003_32228_EC_S1_L001_R1_001.fastq.gz
